Model1,Model2,Orange,Tie,Blue
curriculum_30m,curriculum_400m,0.0,0.0,3.0
curriculum_30m,curriculum_60m,1.0,1.0,1.0
curriculum_400m,curriculum_60m,3.0,0.0,0.0
curriculum_30m,curriculum_400m,0.0,0.0,3.0
curriculum_30m,curriculum_60m,2.0,0.0,1.0
curriculum_400m,curriculum_60m,3.0,0.0,0.0
curriculum_30m,curriculum_400m,0.0,0.0,3.0
curriculum_30m,curriculum_60m,0.0,1.0,2.0
curriculum_400m,curriculum_60m,3.0,0.0,0.0
curriculum_30m,curriculum_400m,1.0,0.0,2.0
curriculum_30m,curriculum_60m,1.0,1.0,1.0
curriculum_400m,curriculum_60m,3.0,0.0,0.0
curriculum_30m,curriculum_400m,0.0,0.0,3.0
curriculum_30m,curriculum_60m,1.0,1.0,1.0
curriculum_400m,curriculum_60m,3.0,0.0,0.0
curriculum_30m,curriculum_400m,0.0,0.0,3.0
curriculum_30m,curriculum_60m,0.0,2.0,1.0
curriculum_400m,curriculum_60m,3.0,0.0,0.0
curriculum_30m,curriculum_400m,0.0,0.0,3.0
curriculum_30m,curriculum_60m,0.0,1.0,2.0
curriculum_400m,curriculum_60m,3.0,0.0,0.0
curriculum_30m,curriculum_400m,0.0,0.0,3.0
curriculum_30m,curriculum_60m,1.0,1.0,1.0
curriculum_400m,curriculum_60m,3.0,0.0,0.0
curriculum_30m,curriculum_400m,0.0,0.0,3.0
curriculum_30m,curriculum_60m,0.0,3.0,0.0
curriculum_400m,curriculum_60m,3.0,0.0,0.0
curriculum_30m,curriculum_400m,0.0,0.0,3.0
curriculum_30m,curriculum_60m,0.0,2.0,1.0
curriculum_400m,curriculum_60m,3.0,0.0,0.0
curriculum_30m,curriculum_400m,0.0,0.0,3.0
curriculum_30m,curriculum_60m,0.0,0.0,3.0
curriculum_400m,curriculum_60m,3.0,0.0,0.0
curriculum_30m,curriculum_400m,0.0,0.0,3.0
curriculum_30m,curriculum_60m,0.0,1.0,2.0
curriculum_400m,curriculum_60m,3.0,0.0,0.0
curriculum_30m,curriculum_400m,0.0,0.0,3.0
curriculum_30m,curriculum_60m,0.0,3.0,0.0
curriculum_400m,curriculum_60m,3.0,0.0,0.0
