time,Model1,Model2,Orange,Tie,Blue
1741852825.8566344,curriculum_102m,curriculum_tiny_30m,0.0,20.0,0.0
1741852825.86073,curriculum_204m,gentle_tiny_100m,1.0,19.0,0.0
1741852829.9375858,curriculum_102m,curriculum_tiny_30m,0.0,20.0,0.0
1741852829.95381,curriculum_204m,gentle_tiny_100m,0.0,18.0,2.0
1741852830.127625,curriculum_102m,curriculum_tiny_30m,0.0,20.0,0.0
1741852830.1320426,curriculum_204m,gentle_tiny_100m,0.0,20.0,0.0
1741852830.8597932,curriculum_102m,curriculum_tiny_30m,0.0,20.0,0.0
1741852830.864307,curriculum_204m,gentle_tiny_100m,0.0,18.0,2.0
1741852830.9565148,curriculum_102m,curriculum_tiny_30m,0.0,20.0,0.0
1741852830.9645228,curriculum_204m,gentle_tiny_100m,0.0,20.0,0.0
1741852831.318056,curriculum_102m,curriculum_tiny_30m,0.0,20.0,0.0
1741852831.3224022,curriculum_204m,gentle_tiny_100m,0.0,20.0,0.0
1741852831.3394794,curriculum_102m,curriculum_tiny_30m,0.0,20.0,0.0
1741852831.3434038,curriculum_204m,gentle_tiny_100m,1.0,18.0,1.0
1741852831.554216,curriculum_102m,curriculum_tiny_30m,1.0,19.0,0.0
1741852831.557701,curriculum_204m,gentle_tiny_100m,0.0,20.0,0.0
1741852942.9744804,curriculum_tiny_100m,curriculum_wide_114m,0.0,20.0,0.0
1741852942.980024,curriculum_306m,curriculum_405m,1.0,11.0,8.0
1741852954.4048555,curriculum_tiny_100m,curriculum_wide_114m,1.0,19.0,0.0
1741852954.4095285,curriculum_306m,curriculum_405m,2.0,16.0,2.0
1741852955.5248213,curriculum_tiny_100m,curriculum_wide_114m,0.0,19.0,1.0
1741852955.529431,curriculum_306m,curriculum_405m,1.0,15.0,4.0
1741852956.2114832,curriculum_tiny_100m,curriculum_wide_114m,4.0,16.0,0.0
1741852956.2265952,curriculum_306m,curriculum_405m,3.0,11.0,6.0
1741852957.6953602,curriculum_tiny_100m,curriculum_wide_114m,1.0,19.0,0.0
1741852957.7001953,curriculum_306m,curriculum_405m,1.0,14.0,5.0
1741852958.324828,curriculum_tiny_100m,curriculum_wide_114m,0.0,20.0,0.0
1741852958.330385,curriculum_306m,curriculum_405m,2.0,17.0,1.0
1741852959.310213,curriculum_tiny_100m,curriculum_wide_114m,0.0,19.0,1.0
1741852959.3145635,curriculum_306m,curriculum_405m,1.0,17.0,2.0
1741852959.4441805,curriculum_tiny_100m,curriculum_wide_114m,0.0,19.0,1.0
1741852959.4480772,curriculum_306m,curriculum_405m,2.0,13.0,5.0
